County,PQI12_UTI_AGE_LT_65,PQI11_BCTRL_PNA_AGE_LT_65,PQI15_ASTHMA_AGE_LT_40,BENES_TOTAL_CNT
IA-Webster,,,,8622
IA-Winnebago,,,,2818
IA-Winneshiek,,,,5356
IA-Woodbury,,,,20401
IA-Worth,,,,1923
IA-Wright,,,,3250
ID-Ada,,,,99778
ID-Adams,,,,1582
ID-Bannock,,,,17573
ID-Bear Lake,,,,1631
ID-Benewah,,,,3185
ID-Bingham,,,,9284
ID-Blaine,,,,6068
ID-Boise,,,,2610
ID-Bonner,,,,15309
ID-Bonneville,,,,21977
ID-Boundary,,,,4024
ID-Butte,,,,762
ID-Camas,,,,303
ID-Canyon,,,,46190
ID-Caribou,,,,1562
ID-Cassia,,,,4592
ID-Clark,,,,146
ID-Clearwater,,,,3086
ID-Custer,,,,1489
ID-Elmore,,,,5422
ID-Franklin,,,,2754
ID-Fremont,,,,2897
ID-Gem,,,,5647
ID-Gooding,,,,3474
ID-Idaho,,,,5704
ID-Jefferson,,,,5039
ID-Jerome,,,,4211
ID-Kootenai,,,,45970
ID-Latah,,,,7423
ID-Lemhi,,,,3017
ID-Lewis,,,,1683
ID-Lincoln,,,,1008
ID-Madison,,,,3857
ID-Minidoka,,,,4440
ID-Nez Perce,,,,11405
ID-Oneida,,,,1188
ID-Owyhee,,,,2686
ID-Payette,,,,6529
ID-Power,,,,1546
ID-Shoshone,,,,4132
ID-Teton,,,,1923
ID-Twin Falls,,,,18986
ID-UNKNOWN,,,,*
ID-Valley,,,,3540
ID-Washington,,,,3424
IL-Adams,,,,16004
IL-Alexander,,,,1606
IL-Bond,,,,3888
IL-Boone,,,,10942
IL-Brown,,,,1155
IL-Bureau,,,,8866
IL-Calhoun,,,,1251
IL-Carroll,,,,4496
IL-Cass,,,,2742
IL-Champaign,,,,33141
IL-Christian,,,,8325
IL-Clark,,,,3987
IL-Clay,,,,3469
IL-Clinton,,,,8420
IL-Coles,,,,10634
IL-Cook,,,,890924
IL-Crawford,,,,4711
IL-Cumberland,,,,2659
IL-DeKalb,,,,18103
IL-DeWitt,,,,3929
IL-Douglas,,,,4314
IL-DuPage,,,,180209
IL-Edgar,,,,4610
IL-Edwards,,,,1592
IL-Effingham,,,,8266
IL-Fayette,,,,4753
IL-Ford,,,,3376
IL-Franklin,,,,10119
IL-Fulton,,,,8725
IL-Gallatin,,,,1443
IL-Greene,,,,3164
IL-Grundy,,,,10064
IL-Hamilton,,,,2030
IL-Hancock,,,,5014
IL-Hardin,,,,1086
IL-Henderson,,,,1810
IL-Henry,,,,12579
IL-Iroquois,,,,7328
IL-Jackson,,,,11164
IL-Jasper,,,,2436
IL-Jefferson,,,,9076
IL-Jersey,,,,5595
IL-Jo Daviess,,,,7051
IL-Johnson,,,,3229
IL-Kane,,,,91799
IL-Kankakee,,,,23653
IL-Kendall,,,,18632
IL-Knox,,,,12958
IL-LaSalle,,,,26759
IL-Lake,,,,129671
IL-Lawrence,,,,3411
IL-Lee,,,,8518
IL-Livingston,,,,8528
IL-Logan,,,,6413
IL-Macon,,,,25556
IL-Macoupin,,,,12110
IL-Madison,,,,60283
IL-Marion,,,,9980
IL-Marshall,,,,3263
IL-Mason,,,,3584
IL-Massac,,,,3857
