County,PQI12_UTI_AGE_LT_65,PQI11_BCTRL_PNA_AGE_LT_65,PQI15_ASTHMA_AGE_LT_40,BENES_TOTAL_CNT
NJ-Monmouth,,,,143479
NJ-Morris,,,,104265
NJ-Ocean,,,,169034
NJ-Passaic,,,,91427
NJ-Salem,,,,15287
NJ-Somerset,,,,65010
NJ-Sussex,,,,33488
NJ-UNKNOWN,,,,*
NJ-Union,,,,95438
NJ-Warren,,,,25810
NM-Bernalillo,,,,143096
NM-Catron,,,,1634
NM-Chaves,,,,12669
NM-Cibola,,,,5082
NM-Colfax,,,,3979
NM-Curry,,,,8044
NM-De Baca,,,,548
NM-Dona Ana,,,,47842
NM-Eddy,,,,10320
NM-Grant,,,,9434
NM-Guadalupe,,,,1086
NM-Harding,,,,239
NM-Hidalgo,,,,1150
NM-Lea,,,,9831
NM-Lincoln,,,,6757
NM-Los Alamos,,,,3805
NM-Luna,,,,7011
NM-McKinley,,,,12387
NM-Mora,,,,1560
NM-Otero,,,,14743
NM-Quay,,,,2631
NM-Rio Arriba,,,,9753
NM-Roosevelt,,,,3315
NM-San Juan,,,,24458
NM-San Miguel,,,,7557
NM-Sandoval,,,,36359
NM-Santa Fe,,,,46329
NM-Sierra,,,,4753
NM-Socorro,,,,4172
NM-Taos,,,,10783
NM-Torrance,,,,4031
NM-UNKNOWN,,,,*
NM-Union,,,,988
NM-Valencia,,,,17975
NV-Carson City,,,,15426
NV-Churchill,,,,6300
NV-Clark,,,,416477
NV-Douglas,,,,18351
NV-Elko,,,,7988
NV-Esmeralda,,,,270
NV-Eureka,,,,387
NV-Humboldt,,,,3386
NV-Lander,,,,1012
NV-Lincoln,,,,1161
NV-Lyon,,,,16204
NV-Mineral,,,,1434
NV-Nye,,,,18819
NV-Pershing,,,,1188
NV-Storey,,,,1313
NV-UNKNOWN,,,,*
NV-Washoe,,,,102722
NV-White Pine,,,,2030
NY-Albany,,,,67645
NY-Allegany,,,,11454
NY-Bronx,,,,228555
NY-Broome,,,,47062
NY-Cattaraugus,,,,19875
NY-Cayuga,,,,18644
NY-Chautauqua,,,,33406
NY-Chemung,,,,21231
NY-Chenango,,,,13137
NY-Clinton,,,,20344
NY-Columbia,,,,17705
NY-Cortland,,,,10235
NY-Delaware,,,,13074
NY-Dutchess,,,,67563
NY-Erie,,,,218164
NY-Essex,,,,10768
NY-Franklin,,,,12469
NY-Fulton,,,,14606
NY-Genesee,,,,14684
NY-Greene,,,,12951
NY-Hamilton,,,,1833
NY-Herkimer,,,,16109
NY-Jefferson,,,,22504
NY-Kings,,,,409032
NY-Lewis,,,,6737
NY-Livingston,,,,15274
NY-Madison,,,,16719
NY-Monroe,,,,174475
NY-Montgomery,,,,12380
NY-Nassau,,,,297180
NY-New York,,,,301999
NY-Niagara,,,,55027
NY-Oneida,,,,56429
NY-Onondaga,,,,104750
NY-Ontario,,,,29702
NY-Orange,,,,71402
NY-Orleans,,,,10026
NY-Oswego,,,,28089
NY-Otsego,,,,15560
NY-Putnam,,,,21912
NY-Queens,,,,410470
NY-Rensselaer,,,,35469
NY-Richmond,,,,98550
NY-Rockland,,,,60495
NY-Saratoga,,,,56721
NY-Schenectady,,,,35026
NY-Schoharie,,,,8401
NY-Schuyler,,,,5213
NY-Seneca,,,,8544
NY-St. Lawrence,,,,25546
NY-Steuben,,,,24147
NY-Suffolk,,,,327042
NY-Sullivan,,,,18349
NY-Tioga,,,,12625
NY-Tompkins,,,,18913
NY-UNKNOWN,,,,*
NY-Ulster,,,,45325
NY-Warren,,,,19781
NY-Washington,,,,16267
NY-Wayne,,,,24387
NY-Westchester,,,,195771
NY-Wyoming,,,,9737
NY-Yates,,,,6424
OH-Adams,,,,7043
OH-Allen,,,,23820
OH-Ashland,,,,12791
OH-Ashtabula,,,,25560
OH-Athens,,,,11526
OH-Auglaize,,,,11125
OH-Belmont,,,,17284
OH-Brown,,,,10784
OH-Butler,,,,75378
OH-Carroll,,,,7203
OH-Champaign,,,,9321
OH-Clark,,,,32897
OH-Clermont,,,,47139
OH-Clinton,,,,9845
OH-Columbiana,,,,26996
OH-Coshocton,,,,8917
OH-Crawford,,,,11343
OH-Cuyahoga,,,,280052
OH-Darke,,,,12763
OH-Defiance,,,,9724
OH-Delaware,,,,39905
OH-Erie,,,,21458
OH-Fairfield,,,,32986
OH-Fayette,,,,6929
OH-Franklin,,,,205672
OH-Fulton,,,,10376
OH-Gallia,,,,7457
OH-Geauga,,,,23823
OH-Greene,,,,36563
OH-Guernsey,,,,9922
OH-Hamilton,,,,163463
OH-Hancock,,,,16794
OH-Hardin,,,,6635
OH-Harrison,,,,4046
OH-Henry,,,,6893
OH-Highland,,,,10482
OH-Hocking,,,,6902
OH-Holmes,,,,5496
OH-Huron,,,,14150
OH-Jackson,,,,7894
OH-Jefferson,,,,17694
OH-Knox,,,,14780
OH-Lake,,,,60055
OH-Lawrence,,,,14949
OH-Licking,,,,39369
OH-Logan,,,,11237
OH-Lorain,,,,76267
OH-Lucas,,,,93925
OH-Madison,,,,9087
OH-Mahoning,,,,61927
OH-Marion,,,,15323
OH-Medina,,,,43290
OH-Meigs,,,,5835
OH-Mercer,,,,9692
OH-Miami,,,,25988
OH-Monroe,,,,3799
OH-Montgomery,,,,120038
OH-Morgan,,,,3638
OH-Morrow,,,,7996
OH-Muskingum,,,,22106
OH-Noble,,,,2868
OH-Ottawa,,,,12981
OH-Paulding,,,,4542
OH-Perry,,,,8621
OH-Pickaway,,,,12207
OH-Pike,,,,6534
OH-Portage,,,,36789
OH-Preble,,,,10417
OH-Putnam,,,,7904
OH-Richland,,,,30891
OH-Ross,,,,17522
OH-Sandusky,,,,15020
OH-Scioto,,,,17760
OH-Seneca,,,,13618
OH-Shelby,,,,10542
OH-Stark,,,,94372
OH-Summit,,,,126160
OH-Trumbull,,,,55036
OH-Tuscarawas,,,,22619
OH-UNKNOWN,,,,*
OH-Union,,,,10612
OH-Van Wert,,,,6915
OH-Vinton,,,,3060
OH-Warren,,,,46517
OH-Washington,,,,16582
OH-Wayne,,,,26088
OH-Williams,,,,9437
OH-Wood,,,,27288
OH-Wyandot,,,,5482
OK-Adair,,,,4416
OK-Alfalfa,,,,1211
OK-Atoka,,,,3299
OK-Beaver,,,,1026
OK-Beckham,,,,4399
OK-Blaine,,,,2115
OK-Bryan,,,,10471
OK-Caddo,,,,6383
OK-Canadian,,,,27905
OK-Carter,,,,11784
OK-Cherokee,,,,10580
OK-Choctaw,,,,3996
OK-Cimarron,,,,595
OK-Cleveland,,,,53003
OK-Coal,,,,1229
OK-Comanche,,,,21816
OK-Cotton,,,,1365
OK-Craig,,,,3837
OK-Creek,,,,17412
OK-Custer,,,,5156
OK-Delaware,,,,12372
OK-Dewey,,,,1206
OK-Ellis,,,,993
OK-Garfield,,,,13061
OK-Garvin,,,,6574
OK-Grady,,,,11922
OK-Grant,,,,1063
OK-Greer,,,,1278
OK-Harmon,,,,657
OK-Harper,,,,863
OK-Haskell,,,,3079
OK-Hughes,,,,3127
OK-Jackson,,,,4791
OK-Jefferson,,,,1547
OK-Johnston,,,,2703
OK-Kay,,,,10820
OK-Kingfisher,,,,3079
OK-Kiowa,,,,2368
OK-Latimer,,,,2746
OK-Le Flore,,,,12125
OK-Lincoln,,,,8305
OK-Logan,,,,10230
OK-Love,,,,2498
OK-Major,,,,1750
OK-Marshall,,,,4356
OK-Mayes,,,,10180
OK-McClain,,,,9509
OK-McCurtain,,,,7542
OK-McIntosh,,,,5799
OK-Murray,,,,3519
OK-Muskogee,,,,16533
OK-Noble,,,,2725
OK-Nowata,,,,2478
OK-Okfuskee,,,,2738
OK-Oklahoma,,,,144969
OK-Okmulgee,,,,9667
OK-Osage,,,,10588
OK-Ottawa,,,,7849
OK-Pawnee,,,,4042
OK-Payne,,,,13941
OK-Pittsburg,,,,11163
OK-Pontotoc,,,,8584
OK-Pottawatomie,,,,16797
OK-Pushmataha,,,,3081
OK-Roger Mills,,,,871
OK-Rogers,,,,20997
OK-Seminole,,,,5764
OK-Sequoyah,,,,10665
OK-Stephens,,,,11482
OK-Texas,,,,2791
OK-Tillman,,,,1711
OK-Tulsa,,,,127670
OK-UNKNOWN,,,,*
OK-Wagoner,,,,17861
OK-Washington,,,,13363
OK-Washita,,,,2526
OK-Woods,,,,1796
OK-Woodward,,,,3988
OR-Baker,,,,5626
OR-Benton,,,,19858
OR-Clackamas,,,,98056
OR-Clatsop,,,,11916
OR-Columbia,,,,13586
OR-Coos,,,,22576
OR-Crook,,,,8151
OR-Curry,,,,10271
OR-Deschutes,,,,52207
OR-Douglas,,,,37098
OR-Gilliam,,,,633
OR-Grant,,,,2464
OR-Harney,,,,2236
OR-Hood River,,,,4996
OR-Jackson,,,,62003
OR-Jefferson,,,,6328
OR-Josephine,,,,28970
OR-Klamath,,,,19492
OR-Lake,,,,2475
OR-Lane,,,,98000
OR-Lincoln,,,,18736
OR-Linn,,,,32750
OR-Malheur,,,,6684
OR-Marion,,,,71853
OR-Morrow,,,,2419
OR-Multnomah,,,,138577
OR-Polk,,,,20637
OR-Sherman,,,,569
OR-Tillamook,,,,9076
OR-UNKNOWN,,,,*
OR-Umatilla,,,,16069
OR-Union,,,,7058
OR-Wallowa,,,,2694
OR-Wasco,,,,6962
OR-Washington,,,,103155
OR-Wheeler,,,,540
OR-Yamhill,,,,24471
PA-Adams,,,,28166
PA-Allegheny,,,,287791
PA-Armstrong,,,,18849
PA-Beaver,,,,45916
PA-Bedford,,,,14068
PA-Berks,,,,94311
PA-Blair,,,,33705
PA-Bradford,,,,16303
PA-Bucks,,,,156265
PA-Butler,,,,49814
PA-Cambria,,,,39326
PA-Cameron,,,,1548
PA-Carbon,,,,18151
PA-Centre,,,,27816
PA-Chester,,,,111037
PA-Clarion,,,,10085
PA-Clearfield,,,,21295
PA-Clinton,,,,9535
PA-Columbia,,,,16489
PA-Crawford,,,,23335
PA-Cumberland,,,,60825
PA-Dauphin,,,,63254
PA-Delaware,,,,120845
PA-Elk,,,,8988
PA-Erie,,,,66209
PA-Fayette,,,,36844
PA-Forest,,,,1928
PA-Franklin,,,,39161
PA-Fulton,,,,4018
PA-Greene,,,,9148
PA-Huntingdon,,,,11595
PA-Indiana,,,,21256
PA-Jefferson,,,,12248
PA-Juniata,,,,5874
PA-Lackawanna,,,,56137
PA-Lancaster,,,,125158
PA-Lawrence,,,,24574
PA-Lebanon,,,,35262
PA-Lehigh,,,,82128
PA-Luzerne,,,,79334
PA-Lycoming,,,,29550
PA-McKean,,,,10969
PA-Mercer,,,,30964
PA-Mifflin,,,,12105
PA-Monroe,,,,38721
PA-Montgomery,,,,187706
PA-Montour,,,,4877
PA-Northampton,,,,77761
PA-Northumberland,,,,24769
PA-Perry,,,,11719
PA-Philadelphia,,,,271385
PA-Pike,,,,16629
PA-Potter,,,,5009
PA-Schuylkill,,,,38167
PA-Snyder,,,,9389
PA-Somerset,,,,21098
PA-Sullivan,,,,2140
PA-Susquehanna,,,,11334
PA-Tioga,,,,11613
PA-UNKNOWN,,,,*
PA-Union,,,,9153
PA-Venango,,,,15433
PA-Warren,,,,11404
PA-Washington,,,,56265
PA-Wayne,,,,15143
PA-Westmoreland,,,,103011
PA-Wyoming,,,,7467
PA-York,,,,105484
RI-Bristol,,,,12989
RI-Kent,,,,44464
RI-Newport,,,,22516
RI-Providence,,,,132375
RI-UNKNOWN,,,,*
RI-Washington,,,,36277
SC-Abbeville,,,,6880
SC-Aiken,,,,44463
SC-Allendale,,,,2207
SC-Anderson,,,,49764
SC-Bamberg,,,,3666
SC-Barnwell,,,,5314
SC-Beaufort,,,,61276
SC-Berkeley,,,,45495
SC-Calhoun,,,,4105
SC-Charleston,,,,85709
SC-Cherokee,,,,13457
SC-Chester,,,,8411
SC-Chesterfield,,,,10723
SC-Clarendon,,,,9823
SC-Colleton,,,,10698
SC-Darlington,,,,16720
SC-Dillon,,,,7117
SC-Dorchester,,,,32354
SC-Edgefield,,,,6767
SC-Fairfield,,,,6305
SC-Florence,,,,32501
SC-Georgetown,,,,22936
SC-Greenville,,,,115178
SC-Greenwood,,,,17564
SC-Hampton,,,,4824
SC-Horry,,,,126577
SC-Jasper,,,,9123
SC-Kershaw,,,,17235
SC-Lancaster,,,,26535
SC-Laurens,,,,17804
SC-Lee,,,,4455
SC-Lexington,,,,65376
SC-Marion,,,,8355
SC-Marlboro,,,,6704
SC-McCormick,,,,4543
SC-Newberry,,,,10323
SC-Oconee,,,,24619
SC-Orangeburg,,,,22277
SC-Pickens,,,,29743
SC-Richland,,,,76723
SC-Saluda,,,,3869
SC-Spartanburg,,,,73825
SC-Sumter,,,,24407
SC-UNKNOWN,,,,*
SC-Union,,,,7816
SC-Williamsburg,,,,8798
SC-York,,,,55957
SD-Aurora,,,,654
SD-Beadle,,,,4099
SD-Bennett,,,,515
SD-Bon Homme,,,,1656
SD-Brookings,,,,5830
SD-Brown,,,,8432
SD-Brule,,,,1257
SD-Buffalo,,,,225
SD-Butte,,,,2719
SD-Campbell,,,,452
SD-Charles Mix,,,,1951
SD-Clark,,,,896
SD-Clay,,,,2302
SD-Codington,,,,6646
SD-Corson,,,,602
SD-Custer,,,,3481
SD-Davison,,,,4785
SD-Day,,,,1678
SD-Deuel,,,,1054
SD-Dewey,,,,879
SD-Douglas,,,,832
SD-Edmunds,,,,974
SD-Fall River,,,,2907
SD-Faulk,,,,594
SD-Grant,,,,2188
SD-Gregory,,,,1236
SD-Haakon,,,,600
SD-Hamlin,,,,1238
SD-Hand,,,,918
SD-Hanson,,,,1184
SD-Harding,,,,303
SD-Hughes,,,,3817
SD-Hutchinson,,,,1965
SD-Hyde,,,,375
SD-Jackson,,,,494
SD-Jerauld,,,,597
SD-Jones,,,,251
SD-Kingsbury,,,,1489
SD-Lake,,,,2801
SD-Lawrence,,,,8008
SD-Lincoln,,,,11567
SD-Lyman,,,,734
SD-Marshall,,,,1190
SD-McCook,,,,1395
SD-McPherson,,,,735
SD-Meade,,,,6260
SD-Mellette,,,,371
SD-Miner,,,,643
SD-Minnehaha,,,,40321
SD-Moody,,,,1443
SD-Oglala Lakota,,,,1431
SD-Pennington,,,,30490
SD-Perkins,,,,862
SD-Potter,,,,690
SD-Roberts,,,,2259
SD-Sanborn,,,,580
SD-Spink,,,,1668
SD-Stanley,,,,775
SD-Sully,,,,355
SD-Todd,,,,1022
SD-Tripp,,,,1442
SD-Turner,,,,2128
SD-UNKNOWN,,,,*
SD-Union,,,,3771
SD-Walworth,,,,1561
SD-Yankton,,,,5842
SD-Ziebach,,,,185
TN-Anderson,,,,20277
TN-Bedford,,,,10309
TN-Benton,,,,5056
TN-Bledsoe,,,,3739
TN-Blount,,,,35601
TN-Bradley,,,,25244
TN-Campbell,,,,10905
TN-Cannon,,,,3647
TN-Carroll,,,,7869
TN-Carter,,,,16102
TN-Cheatham,,,,9162
TN-Chester,,,,3998
TN-Claiborne,,,,9226
TN-Clay,,,,2305
TN-Cocke,,,,11390
TN-Coffee,,,,14069
TN-Crockett,,,,3415
TN-Cumberland,,,,25049
TN-Davidson,,,,106229
TN-DeKalb,,,,5162
TN-Decatur,,,,3632
TN-Dickson,,,,12392
TN-Dyer,,,,8641
TN-Fayette,,,,11852
TN-Fentress,,,,6161
TN-Franklin,,,,11354
TN-Gibson,,,,12511
TN-Giles,,,,7931
TN-Grainger,,,,6897
TN-Greene,,,,21183
TN-Grundy,,,,4163
TN-Hamblen,,,,15859
TN-Hamilton,,,,82502
TN-Hancock,,,,1981
TN-Hardeman,,,,6285
TN-Hardin,,,,7977
TN-Hawkins,,,,17317
TN-Haywood,,,,4523
TN-Henderson,,,,7184
TN-Henry,,,,9758
TN-Hickman,,,,5788
TN-Houston,,,,2320
TN-Humphreys,,,,4925
TN-Jackson,,,,3500
TN-Jefferson,,,,15291
TN-Johnson,,,,5678
TN-Knox,,,,99592
TN-Lake,,,,1448
TN-Lauderdale,,,,5661
TN-Lawrence,,,,10870
TN-Lewis,,,,3335
TN-Lincoln,,,,9269
TN-Loudon,,,,20017
TN-Macon,,,,5530
TN-Madison,,,,23178
TN-Marion,,,,7955
TN-Marshall,,,,7783
TN-Maury,,,,23937
TN-McMinn,,,,14548
TN-McNairy,,,,7344
TN-Meigs,,,,3897
TN-Monroe,,,,13750
TN-Montgomery,,,,32203
TN-Moore,,,,1684
TN-Morgan,,,,5308
TN-Obion,,,,8346
TN-Overton,,,,6238
TN-Perry,,,,2351
TN-Pickett,,,,1680
TN-Polk,,,,5202
TN-Putnam,,,,18795
TN-Rhea,,,,8718
TN-Roane,,,,15857
TN-Robertson,,,,15265
TN-Rutherford,,,,50684
TN-Scott,,,,5449
TN-Sequatchie,,,,5276
TN-Sevier,,,,25538
TN-Shelby,,,,168464
TN-Smith,,,,4614
TN-Stewart,,,,3683
TN-Sullivan,,,,46161
TN-Sumner,,,,40840
TN-Tipton,,,,12945
TN-Trousdale,,,,2031
TN-UNKNOWN,,,,*
TN-Unicoi,,,,5681
TN-Union,,,,5093
TN-Van Buren,,,,1867
TN-Warren,,,,10374
TN-Washington,,,,33784
TN-Wayne,,,,4064
TN-Weakley,,,,7791
TN-White,,,,7867
TN-Williamson,,,,43690
TN-Wilson,,,,30947
TX-Anderson,,,,11657
TX-Andrews,,,,2479
TX-Angelina,,,,19314
TX-Aransas,,,,8452
TX-Archer,,,,2113
TX-Armstrong,,,,521
TX-Atascosa,,,,10102
TX-Austin,,,,7815
TX-Bailey,,,,1150
TX-Bandera,,,,8037
TX-Bastrop,,,,18561
TX-Baylor,,,,1006
TX-Bee,,,,5346
TX-Bell,,,,62310
TX-Bexar,,,,335144
TX-Blanco,,,,4228
TX-Borden,,,,121
TX-Bosque,,,,5711
TX-Bowie,,,,20979
TX-Brazoria,,,,60635
TX-Brazos,,,,29202
TX-Brewster,,,,2423
TX-Briscoe,,,,441
TX-Brooks,,,,1602
TX-Brown,,,,9987
TX-Burleson,,,,5222
TX-Burnet,,,,14753
TX-Caldwell,,,,8657
TX-Calhoun,,,,4740
TX-Callahan,,,,3745
TX-Cameron,,,,72058
TX-Camp,,,,3116
TX-Carson,,,,1320
TX-Cass,,,,8676
TX-Castro,,,,1287
TX-Chambers,,,,7726
TX-Cherokee,,,,11707
TX-Childress,,,,1412
TX-Clay,,,,2801
TX-Cochran,,,,565
TX-Coke,,,,1050
TX-Coleman,,,,2716
TX-Collin,,,,148912
TX-Collingsworth,,,,700
TX-Colorado,,,,5987
TX-Comal,,,,43658
TX-Comanche,,,,3832
TX-Concho,,,,785
TX-Cooke,,,,9588
TX-Coryell,,,,12212
TX-Cottle,,,,420
TX-Crane,,,,707
TX-Crockett,,,,793
TX-Crosby,,,,1323
TX-Culberson,,,,559
TX-Dallam,,,,984
TX-Dallas,,,,359395
TX-Dawson,,,,2328
TX-DeWitt,,,,4905
TX-Deaf Smith,,,,2837
TX-Delta,,,,1452
TX-Denton,,,,126130
TX-Dickens,,,,582
TX-Dimmit,,,,1968
TX-Donley,,,,981
TX-Duval,,,,2487
TX-Eastland,,,,5086
TX-Ector,,,,21840
TX-Edwards,,,,593
TX-El Paso,,,,149330
TX-Ellis,,,,35350
TX-Erath,,,,7787
TX-Falls,,,,4011
TX-Fannin,,,,8409
TX-Fayette,,,,7877
TX-Fisher,,,,995
TX-Floyd,,,,1271
TX-Foard,,,,368
TX-Fort Bend,,,,126543
TX-Franklin,,,,2694
TX-Freestone,,,,4865
TX-Frio,,,,3060
TX-Gaines,,,,2222
TX-Galveston,,,,67275
TX-Garza,,,,910
TX-Gillespie,,,,9641
TX-Glasscock,,,,204
TX-Goliad,,,,1988
TX-Gonzales,,,,4662
TX-Gray,,,,4345
TX-Grayson,,,,32990
TX-Gregg,,,,27673
TX-Grimes,,,,7139
TX-Guadalupe,,,,32636
TX-Hale,,,,5911
TX-Hall,,,,811
TX-Hamilton,,,,2503
TX-Hansford,,,,959
TX-Hardeman,,,,1012
TX-Hardin,,,,13074
TX-Harris,,,,641854
TX-Harrison,,,,14756
TX-Hartley,,,,637
TX-Haskell,,,,1460
TX-Hays,,,,39488
TX-Hemphill,,,,709
TX-Henderson,,,,23155
TX-Hidalgo,,,,121012
TX-Hill,,,,9741
TX-Hockley,,,,4290
TX-Hood,,,,20085
TX-Hopkins,,,,8701
TX-Houston,,,,5958
TX-Howard,,,,5532
TX-Hudspeth,,,,788
TX-Hunt,,,,21032
TX-Hutchinson,,,,4446
TX-Irion,,,,394
TX-Jack,,,,1809
TX-Jackson,,,,3497
TX-Jasper,,,,9239
TX-Jeff Davis,,,,755
TX-Jefferson,,,,46869
TX-Jim Hogg,,,,1021
TX-Jim Wells,,,,8774
TX-Johnson,,,,36030
TX-Jones,,,,3686
TX-Karnes,,,,2968
TX-Kaufman,,,,25437
TX-Kendall,,,,12976
TX-Kenedy,,,,55
TX-Kent,,,,211
TX-Kerr,,,,18075
TX-Kimble,,,,1354
TX-King,,,,38
TX-Kinney,,,,974
TX-Kleberg,,,,5464
TX-Knox,,,,915
TX-La Salle,,,,1206
TX-Lamar,,,,12214
TX-Lamb,,,,2806
TX-Lampasas,,,,6184
TX-Lavaca,,,,5920
TX-Lee,,,,4151
TX-Leon,,,,5648
TX-Liberty,,,,16013
TX-Limestone,,,,5609
TX-Lipscomb,,,,675
TX-Live Oak,,,,2774
TX-Llano,,,,8771
TX-Loving,,,,15
TX-Lubbock,,,,53306
TX-Lynn,,,,1146
TX-Madison,,,,2681
TX-Marion,,,,3242
TX-Martin,,,,812
TX-Mason,,,,1460
TX-Matagorda,,,,8065
TX-Maverick,,,,11288
TX-McCulloch,,,,2365
TX-McLennan,,,,49997
TX-McMullen,,,,181
TX-Medina,,,,11395
TX-Menard,,,,735
TX-Midland,,,,21933
TX-Milam,,,,6636
TX-Mills,,,,1535
TX-Mitchell,,,,1548
TX-Montague,,,,5857
TX-Montgomery,,,,113440
TX-Moore,,,,2754
TX-Morris,,,,3630
TX-Motley,,,,376
TX-Nacogdoches,,,,12928
TX-Navarro,,,,11530
TX-Newton,,,,3157
TX-Nolan,,,,3374
TX-Nueces,,,,67225
TX-Ochiltree,,,,1426
TX-Oldham,,,,470
TX-Orange,,,,17569
TX-Palo Pinto,,,,7207
TX-Panola,,,,5682
TX-Parker,,,,32530
TX-Parmer,,,,1545
TX-Pecos,,,,2476
TX-Polk,,,,20025
TX-Potter,,,,20629
TX-Presidio,,,,1880
TX-Rains,,,,3589
TX-Randall,,,,26681
TX-Reagan,,,,496
TX-Real,,,,1431
TX-Red River,,,,3763
TX-Reeves,,,,2202
TX-Refugio,,,,1855
TX-Roberts,,,,195
TX-Robertson,,,,4358
TX-Rockwall,,,,19715
TX-Runnels,,,,2715
TX-Rusk,,,,11179
TX-Sabine,,,,3673
TX-San Augustine,,,,2622
TX-San Jacinto,,,,7331
TX-San Patricio,,,,14433
TX-San Saba,,,,1637
TX-Schleicher,,,,628
TX-Scurry,,,,3210
TX-Shackelford,,,,847
TX-Shelby,,,,5540
TX-Sherman,,,,413
TX-Smith,,,,51866
TX-Somervell,,,,2322
TX-Starr,,,,10350
TX-Stephens,,,,2205
TX-Sterling,,,,247
TX-Stonewall,,,,406
TX-Sutton,,,,873
TX-Swisher,,,,1470
TX-Tarrant,,,,315893
TX-Taylor,,,,28056
TX-Terrell,,,,256
TX-Terry,,,,2105
TX-Throckmorton,,,,412
TX-Titus,,,,6012
TX-Tom Green,,,,24729
TX-Travis,,,,156605
TX-Trinity,,,,4727
TX-Tyler,,,,5449
TX-UNKNOWN,,,,*
TX-Upshur,,,,9845
TX-Upton,,,,680
TX-Uvalde,,,,5851
TX-Val Verde,,,,9084
TX-Van Zandt,,,,14484
TX-Victoria,,,,19651
TX-Walker,,,,12158
TX-Waller,,,,9077
TX-Ward,,,,1988
TX-Washington,,,,9952
TX-Webb,,,,38092
TX-Wharton,,,,9379
TX-Wheeler,,,,1206
TX-Wichita,,,,27213
TX-Wilbarger,,,,2956
TX-Willacy,,,,3791
TX-Williamson,,,,98286
TX-Wilson,,,,11104
TX-Winkler,,,,1153
TX-Wise,,,,14687
TX-Wood,,,,16542
TX-Yoakum,,,,1344
TX-Young,,,,4751
TX-Zapata,,,,2158
TX-Zavala,,,,2188
UT-Beaver,,,,1486
UT-Box Elder,,,,9808
UT-Cache,,,,16944
UT-Carbon,,,,4966
UT-Daggett,,,,281
UT-Davis,,,,48007
UT-Duchesne,,,,3701
UT-Emery,,,,2283
UT-Garfield,,,,1314
UT-Grand,,,,2216
UT-Iron,,,,10450
UT-Juab,,,,1909
UT-Kane,,,,2306
UT-Millard,,,,2726
UT-Morgan,,,,1901
UT-Piute,,,,460
UT-Rich,,,,515
UT-Salt Lake,,,,163270
UT-San Juan,,,,2480
UT-Sanpete,,,,5546
UT-Sevier,,,,4728
UT-Summit,,,,7754
UT-Tooele,,,,9702
UT-UNKNOWN,,,,*
UT-Uintah,,,,5491
UT-Utah,,,,68223
UT-Wasatch,,,,5593
UT-Washington,,,,46466
UT-Wayne,,,,744
UT-Weber,,,,41575
VA-Accomack,,,,10320
VA-Albemarle,,,,25154
VA-Alexandria City,,,,20593
VA-Alleghany,,,,4716
VA-Amelia,,,,3570
VA-Amherst,,,,8655
VA-Appomattox,,,,4493
VA-Arlington,,,,27766
VA-Augusta,,,,20282
VA-Bath,,,,1401
VA-Bedford,,,,22751
VA-Bland,,,,1927
VA-Botetourt,,,,9733
VA-Bristol City,,,,4678
VA-Brunswick,,,,4453
VA-Buchanan,,,,7037
VA-Buckingham,,,,4024
VA-Buena Vista City,,,,1593
VA-Campbell,,,,14034
VA-Caroline,,,,6921
VA-Carroll,,,,9079
VA-Charles City,,,,2109
VA-Charlotte,,,,3429
VA-Charlottesville City,,,,6935
VA-Chesapeake City,,,,46384
VA-Chesterfield,,,,73496
VA-Clarke,,,,4112
VA-Colonial Heights City,,,,4436
VA-Covington City,,,,1798
VA-Craig,,,,1446
VA-Culpeper,,,,11295
VA-Cumberland,,,,2481
VA-Danville City,,,,11859
VA-Dickenson,,,,4914
VA-Dinwiddie,,,,6570
VA-Emporia City,,,,1387
VA-Essex,,,,3331
VA-Fairfax,,,,178618
VA-Fairfax City,,,,5040
VA-Falls Church City,,,,2495
VA-Fauquier,,,,14940
VA-Floyd,,,,4640
VA-Fluvanna,,,,7373
VA-Franklin,,,,16646
VA-Franklin City,,,,2410
VA-Frederick,,,,20180
VA-Fredericksburg City,,,,4755
VA-Galax City,,,,2024
VA-Giles,,,,4733
VA-Gloucester,,,,10522
VA-Goochland,,,,7497
VA-Grayson,,,,4857
VA-Greene,,,,4766
VA-Greensville,,,,2400
VA-Halifax,,,,10548
VA-Hampton City,,,,28505
VA-Hanover,,,,25953
VA-Harrisonburg City,,,,6459
VA-Henrico,,,,66472
VA-Henry,,,,15208
VA-Highland,,,,947
VA-Hopewell City,,,,5022
VA-Isle of Wight,,,,10029
VA-James City,,,,24927
VA-King George,,,,4882
VA-King William,,,,4125
VA-King and Queen,,,,2008
VA-Lancaster,,,,4776
VA-Lee,,,,6698
VA-Lexington City,,,,1679
VA-Loudoun,,,,50246
VA-Louisa,,,,10258
VA-Lunenburg,,,,3372
VA-Lynchburg City,,,,16256
VA-Madison,,,,3763
VA-Manassas City,,,,5562
VA-Manassas Park City,,,,1372
VA-Martinsville City,,,,4414
VA-Mathews,,,,3216
VA-Mecklenburg,,,,10163
VA-Middlesex,,,,4033
VA-Montgomery,,,,15656
VA-Nelson,,,,5328
VA-New Kent,,,,6186
VA-Newport News City,,,,32709
VA-Norfolk City,,,,37612
VA-Northampton,,,,4285
VA-Northumberland,,,,5143
VA-Norton City,,,,1174
VA-Nottoway,,,,3877
VA-Orange,,,,10256
VA-Page,,,,6733
VA-Patrick,,,,5798
VA-Petersburg City,,,,8003
VA-Pittsylvania,,,,17606
