county_fips,State,County,food_access_score,PovertyRate,MedianFamilyIncome,lapop1share,lalowi1share,vehicle_barrier_rate,Pop2010,TractHUNV,state_abbrev,county_label_medicare,BENES_TOTAL_CNT,PQI03_DBTS_AGE_LT_65,PQI05_COPD_ASTHMA_AGE_40_64,PQI07_HYPRTNSN_AGE_LT_65,PQI15_ASTHMA_AGE_LT_40
27005,Minnesota,Becker County,0.4492577931716144,11.3,70988.8,83.763,22.654,0.022004983800329562,3250.4,77.1,MN,Becker,9509,,,,
27007,Minnesota,Beltrami County,0.44317250619213794,17.93,59182.3,73.374,27.069,0.02818352276983036,4444.2,133.0,MN,Beltrami,10246,,,,
27009,Minnesota,Benton County,0.37593456671317566,10.666666666666666,72464.22222222222,68.27333333333334,15.405555555555557,0.03032025045467499,4272.333333333333,132.44444444444446,MN,Benton,8323,,,,
27011,Minnesota,Big Stone County,0.4007116334115794,10.933333333333332,70338.66666666667,72.11666666666666,19.256666666666668,0.0310660535700811,1756.3333333333333,57.333333333333336,MN,Big Stone,1579,,,,
27013,Minnesota,Blue Earth County,0.38808340961570403,16.593333333333334,72298.86666666667,63.964000000000006,21.48,0.028737084456935347,4079.733333333333,103.93333333333334,MN,Blue Earth,13183,,,,
27015,Minnesota,Brown County,0.27470083979841303,7.857142857142857,74291.85714285714,44.75142857142857,10.91,0.023226393801220428,3248.714285714286,66.14285714285714,MN,Brown,6903,,,,
27017,Minnesota,Carlton County,0.3874431328701258,12.242857142857144,73030.28571428571,69.60571428571428,17.518571428571427,0.020393117251932272,5055.142857142857,94.42857142857143,MN,Carlton,8817,,,,
27019,Minnesota,Carver County,0.29652279980254137,3.7526315789473683,126836.1052631579,63.33842105263158,6.178947368421053,0.011908017176776533,4791.684210526316,69.21052631578948,MN,Carver,18403,,,,
27021,Minnesota,Cass County,0.48428789920589876,13.99,60638.7,87.285,27.666000000000004,0.02424950540950212,2856.7,69.6,MN,Cass,9974,,,,
27023,Minnesota,Chippewa County,0.3550745065313639,9.05,72739.5,62.185,17.537499999999998,0.019427962583068226,3110.25,69.0,MN,Chippewa,3066,,,,
27025,Minnesota,Chisago County,0.40865643804319074,5.75,91425.5,84.25800000000001,14.074000000000002,0.015009208727313109,5388.7,89.4,MN,Chisago,12407,,,,
27027,Minnesota,Clay County,0.2946264069071991,8.59,84882.6,51.424,10.182,0.03149123180813989,4533.3,120.9,MN,Clay,11458,,,,
27029,Minnesota,Clearwater County,0.47580528523092336,16.966666666666665,60287.0,81.01333333333334,30.03333333333333,0.0330040236298079,2898.3333333333335,95.33333333333333,MN,Clearwater,2239,,,,
27031,Minnesota,Cook County,0.39556178243372686,13.55,65476.5,68.14,18.81,0.04904108733985605,2588.0,110.0,MN,Cook,1923,,,,
27033,Minnesota,Cottonwood County,0.27929045975196587,12.125,66134.75,42.8425,10.93,0.018841839093029975,2921.75,55.5,MN,Cottonwood,3136,,,,
27035,Minnesota,Crow Wing County,0.3877180261223564,10.38125,66429.0,70.871875,16.269375,0.02108439405291137,3906.25,92.9375,MN,Crow Wing,20013,,,,
27037,Minnesota,Dakota County,0.2483505567705349,6.098780487804878,104370.68292682926,45.60939024390244,6.025,0.015117825078432165,4292.987804878048,60.792682926829265,MN,Dakota,82612,,,,
27039,Minnesota,Dodge County,0.3669549284889652,6.24,82123.2,70.48400000000001,14.959999999999999,0.01169345485487604,4017.4,45.6,MN,Dodge,4032,,,,
27041,Minnesota,Douglas County,0.4237207125000239,8.066666666666666,75699.11111111111,82.19666666666666,18.203333333333333,0.01996406311359422,4001.0,88.11111111111111,MN,Douglas,11828,,,,
27043,Minnesota,Faribault County,0.3457809866352229,11.233333333333334,67150.5,58.43666666666667,16.328333333333333,0.021182500953457032,2425.5,55.166666666666664,MN,Faribault,4002,,,,
27045,Minnesota,Fillmore County,0.3716846221786203,11.299999999999999,74010.0,65.20833333333333,17.935,0.026164851854991716,3477.6666666666665,88.33333333333333,MN,Fillmore,5528,,,,
27047,Minnesota,Freeborn County,0.4176451348067305,12.03,63150.1,73.978,21.82,0.02285472294176662,3125.5,74.9,MN,Freeborn,8401,,,,
